,기업명,제목,지원자격,근무조건,마감일-등록일
47,누네안과병원,[누네안과병원] 각 부문별 공개채용 [간호/검사/원무/전산],"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/19(목)(3일 전 등록)
"
48,(주)콜론디,[미친복지] (주)콜론디 안드로이드 개발자 채용,"
경력 3년↑
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/10(화)(3일 전 등록)
"
49,㈜놀부,놀부 전산팀 신입/경력사원 모집,"
신입 · 경력
대학(2,3년)↑
","
정규직 · 계약직
경기 성남시 중원구
","
즉시지원 ~ 12/12(목)(2일 전 등록)
"
50,(주)플레이벤처스,포토샵 디자인/영상편집 담당자 채용(경력사원),"
경력
대학(2,3년)↑
","
정규직
서울 마포구
","
즉시지원 ~ 12/09(월)(4일 전 등록)
"
51,"(주)포트디자인랩(PortDesignLabCo.,Ltd.)",잡화브랜드(오소이) 디자이너 채용공고,"
경력 1년↑
학력무관
","
정규직
서울 성동구
","
즉시지원 ~ 12/15(일)(2일 전 등록)
"
52,(주)와이즈버즈,퍼포먼스 마케터 (사원/대리급) 모집,"
경력 1년↑
대학교(4년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/09(월)(4일 전 등록)
"
53,(주)싸이몬,(주)싸이몬 하반기 경력직 채용,"
2 ~ 5년
대학교(4년)↑
","
정규직
서울 송파구
","
즉시지원 ~ 12/22(일)(2일 전 등록)
"
54,㈜비에네스소프트,"C, C++ 개발자 (신입 및 경력 00명) 모집","
경력
대학(2,3년)↑
","
정규직
서울전체
","
즉시지원 ~ 12/12(목)(2일 전 등록)
"
55,(주)씨앤월드,캐릭터용품 웹디자이너 신입/경력 채용,"
경력무관
학력무관
","
정규직
경기 고양시 일산동구
","
즉시지원 ~ 12/18(수)(2일 전 등록)
"
56,(주)쇼크,"(주)쇼크 CS, 영업 각 부문 채용","
신입 · 경력
고졸↑
","
정규직
서울 구로구
","
즉시지원 ~ 12/11(수)(2일 전 등록)
"
57,㈜인포렉스,"[오디오 라이브방송] 개발(Front,back,IOS),디자인,기획 채용","
신입 · 경력
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/20(금)(2일 전 등록)
"
58,(주)빅솔,건강기능식품 온라인 영업 / 마케팅 담당자 채용,"
3 ~ 10년
대학(2,3년)↑
","
정규직
경기 군포시
","
즉시지원 ~ 12/12(목)(2일 전 등록)
"
59,(주)렉시스코리아,[렉시스교육그룹] 신입/경력사원 공개 채용,"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 서초구
","
즉시지원 ~ 12/15(일)(2일 전 등록)
"
60,(주)신세계커머스,"[㈜신세계커머스] SNS 영상편집 담당자 채용(인스타그램, 유튜브 등)","
경력
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/31(화)(2일 전 등록)
"
61,엠에스씨브레인컨설팅그룹(주),[개발팀] 2019 개발 경력 채용,"
신입 · 경력
대학교(4년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/19(목)(2일 전 등록)
"
62,(주)알비트,"[Node.js서버/5,000만원/스톡옵션/자율근무] 인재님의 사명감","
3 ~ 5년
대학교(4년)↑
","
정규직 · 계약직
서울 강남구
5000만원
","
즉시지원 ~ 12/15(일)(43일 전 등록)
"
63,(주)엔에스티시스템,IT 전산직 경력 채용,"
경력 1년↑
대학(2,3년)↑
","
정규직
서울 강남구
2,200~2,400만원
","
즉시지원 채용시(4일 전 등록)
"
64,SPC GFS,[SPC GFS] 각부문신입/경력사원모집,"
경력무관
학력무관
","
정규직
서울 서초구
","
홈페이지 지원 내일마감(11일 전 등록)
"
65,(주)이모션글로벌,각 부문별 신입/경력사원 채용,"
신입 · 경력
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/15(일)(3일 전 등록)
"
66,(주)레뷰코퍼레이션,플랫폼그룹 서비스기획자 채용 (경력 3~5년 이상),"
경력 3년↑
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/29(일)(8일 전 등록)
"
67,(주)레뷰코퍼레이션,플랫폼그룹 개발본부 개발팀 채용 (경력 2년 이상),"
경력 2년↑
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/29(일)(8일 전 등록)
"
68,(주)더코더,디자인·앱 개발·마케팅·재무회계 경력자 모집,"
경력 3년↑
대학(2,3년)↑
","
정규직
서울 마포구
","
즉시지원 ~ 12/20(금)(2일 전 등록)
"
69,교촌에프앤비㈜,교촌에프앤비㈜ 신입 및 경력사원 모집,"
신입 · 경력
학력무관
","
정규직 · 계약직
경기 오산시
","
즉시지원 내일마감(4일 전 등록)
"
70,벨트라코리아주식회사,웹프론트개발(Vue.js  Angular.js) / 여행상품MD세일즈 경력채용,"
경력 2년↑
학력무관
","
정규직
서울 강남구
","
즉시지원 내일마감(8일 전 등록)
"
71,(주)와이즈버즈,브랜딩&amp;퍼포먼스 마케터 모집,"
1 ~ 5년
대학교(4년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/09(월)(4일 전 등록)
"
72,(주)코리아교육그룹,[코리아교육그룹]코리아요리아카데미 EM채용공고,"
경력무관
고졸↑
","
정규직 · 계약직
서울전체
","
즉시지원 ~ 12/17(화)(8일 전 등록)
"
73,(주)엘에스이노베이션,"각 부문 채용(영업, PHP개발자, 안드로이드, iOS개발자)","
신입 · 경력
고졸↑
","
정규직 · 계약직
서울 강서구
","
즉시지원 ~ 12/13(금)(148일 전 등록)
"
74,㈜판도라티비,시스템 엔지니어(SE) / 자바(Java) 백엔드 개발 경력 채용,"
경력
학력무관
","
정규직
경기 성남시 분당구
","
즉시지원 내일마감(8일 전 등록)
"
75,메가존(주),[메가존클라우드] 총무팀 과장급 채용,"
경력 5년↑
학력무관
","
정규직 · 병역특례
서울 강남구
","
즉시지원 ~ 12/31(화)(121일 전 등록)
"
76,(주)노매드코리아,가구 쇼핑몰 온라인 영업 MD &amp; AMD 모집,"
경력무관
학력무관
","
정규직
서울 성동구
","
즉시지원 ~ 12/23(월)(8일 전 등록)
"
77,(주)디노밴네트웍스,2020년 연구개발분야 개발자 각 부문 채용,"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 송파구
","
즉시지원 ~ 12/17(화)(9일 전 등록)
"
78,㈜한국비즈넷,"경영관리팀, 개발팀 신입/경력 채용공고","
신입 · 경력
대학(2,3년)↑
","
정규직
서울 구로구
","
즉시지원 ~ 12/15(일)(8일 전 등록)
"
79,펜타시스템테크놀러지㈜,"서버접근제어 (Window, Linux 환경) 솔루션 개발자 채용","
경력 3년↑
대학(2,3년)↑
","
정규직
서울 영등포구
","
즉시지원 ~ 01/02(목)(4일 전 등록)
"
80,주식회사 율호,[정규직] 데이터베이스 동기화 솔루션 엔지니어 모집합니다.,"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 서초구
","
즉시지원 ~ 12/29(일)(8일 전 등록)
"
81,㈜삼구에프에스,식품공장 사무직군  채용 (안전관리/전산관리),"
신입 · 경력
고졸↑
","
정규직
경기 이천시
","
즉시지원 ~ 12/16(월)(10일 전 등록)
"
82,(주)소프트위드솔루션,"서버, 네트워크, 보안솔루션 경력 엔지니어","
경력 4년↑
대학(2,3년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/12(목)(10일 전 등록)
"
83,유니원아이앤씨(주),2020년 각 부문 신입 및 경력 공개 채용,"
신입 · 경력
대학(2,3년)↑
","
정규직 · 인턴직
서울 영등포구
","
즉시지원 ~ 12/11(수)(11일 전 등록)
"
84,산일전기(주),"2019년 하반기 정기 채용(설계,영업,자재관리,공무,생산,인코더)","
신입 · 경력
학력무관
","
정규직 · 계약직
경기 안산시
","
즉시지원 ~ 12/11(수)(11일 전 등록)
"
85,콘티넨탈오토모티브시스템㈜,생산 및 물류직 사원 모집,"
신입 · 경력
학력무관
","
계약직
경기 이천시
","
접수방법 확인 ~ 12/12(목)(4일 전 등록)
"
86,(주)건강한친구들,2019년 하반기 웹개발 정규직 채용(경력),"
경력
대학(2,3년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/10(화)(4일 전 등록)
"
87,(주)골드문인베스트먼트,신입 및 경력사원 모집(초보가능.경력단절자 환영),"
경력무관
학력무관
","
정규직
서울 강남구
150만원
","
즉시지원 채용시(26일 전 등록)
"
88,GOPIZZA,"[GOPIZZA] 매일새로운회사, 매일이기대되는 회사 고.피.자 공개","
경력무관
학력무관
","
정규직
서울 마포구
","
즉시지원 ~ 12/24(화)(60일 전 등록)
"
89,본갤러리,마케팅 선수 모집(인스타 블로그 운영및 카페 바이럴),"
경력 1년↑
학력무관
","
정규직
경기 화성시
","
즉시지원 ~ 02/02(일)(3일 전 등록)
"
90,(주)비비드플래닛,㈜비비드플래닛 디자이너·마케팅기획·촬영팀 모집 공고,"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 송파구
","
즉시지원 ~ 12/20(금)(2일 전 등록)
"
91,(주)에스더블유엠,[SWM]차량용 전장 Software개발자 모집,"
경력무관
대학교(4년)↑
","
정규직 · 계약직
경기 안양시 동안구
","
즉시지원 ~ 12/09(월)(18일 전 등록)
"
92,(주)휴먼스타,휴먼스타 기업부설연구소에서 솔루션 개발 인재를 채용합니다.,"
경력 3년↑
학력무관
","
정규직
서울 금천구
","
즉시지원 ~ 12/28(토)(9일 전 등록)
"
93,매드스퀘어(주),동남아시아 e-commerce/이커머스 MD 모집 [IT 스타트업],"
2 ~ 5년
대학교(4년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 01/18(토)(18일 전 등록)
"
94,(주)와이즈버즈,광고솔루션 기획 시니어 모집,"
5 ~ 10년
대학교(4년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/10(화)(3일 전 등록)
"
95,(주)위더스애드,디지털마케팅 전략기획AE / 디지털퍼포먼스AE 경력 채용,"
경력
학력무관
","
정규직
서울 구로구
","
즉시지원 ~ 12/13(금)(3일 전 등록)
"
96,서울대학교산학협력단,서울대 의료빅데이터연구센터 AI/딥러닝/연구행정,"
경력 3년↑
대학교(4년)↑
","
계약직
서울 종로구
","
즉시지원 채용시(30일 전 등록)
"
97,(주)글라스바바안경체인,본사 경리/회계직 경력직 채용,"
2 ~ 5년
대학(2,3년)↑
","
정규직 · 계약직
경기 고양시 일산동구
","
즉시지원 ~ 12/21(토)(4일 전 등록)
"
98,차일들리 (Childly),ISMS 정보보안관리자 경력자 모집,"
경력 3년↑
대학교(4년)↑
","
정규직
서울 영등포구
","
즉시지원 ~ 02/03(월)(2일 전 등록)
"
99,하이네트서비스,개발자 모집(SI업체 x).(사회경력자 비전공자 o)(갑질X 회의X 야,"
신입
대학(2,3년)↑
","
정규직
서울 강남구
2,600~2,800만원
","
즉시지원 ~ 12/16(월)(51일 전 등록)
"
100,광동상사,쇼핑몰 웹디자인 신입 및 경력자 모집,"
신입 · 경력
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/19(목)(1일 전 등록)
"
101,(주)포스뱅크,㈜포스뱅크 2020년 공채 [HW/SW연구소/국내영업/제품기획],"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 금천구
","
즉시지원 ~ 12/13(금)(1일 전 등록)
"
102,(주)더에스엠씨그룹,[The SMC] 더에스엠씨그룹 AE/PD/모션그래퍼/디자이너/포토그래퍼 신입/경력 수시채용,"
신입 · 경력
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/12(목)(1일 전 등록)
"
103,투아이시스㈜,SI시스템영업[경력]/시스템엔지니어[신입/경력],"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 강남구
","
즉시지원 ~ 12/15(일)(1일 전 등록)
"
104,프레스티지바이오로직스(주),2019년 프레스티지바이오로직스 각 부문 신입/경력사원 채용,"
신입 · 경력
대학교(4년)↑
","
정규직
충북 청주시
","
즉시지원 ~ 12/13(금)(1일 전 등록)
"
105,(주)와이젬,커머스사업부 컨텐츠·사이트운영 팀원 팀장급 경력2명 채용,"
2 ~ 5년
학력무관
","
정규직
서울 금천구
","
즉시지원 ~ 12/20(금)(2시간 전 등록)
"
106,(주)코스알엑스,2019년 신입 및 경력사원 수시 채용,"
신입 · 경력
학력무관
","
정규직
경기 성남시 분당구
","
즉시지원 ~ 12/15(일)(5일 전 등록)
"
107,㈜퀸텟시스템즈,㈜퀸텟시스템즈 2019 하반기 공개채용,"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 영등포구
","
즉시지원 ~ 12/09(월)(5일 전 등록)
"
108,(주)옵티코어,[SKT 5G 모듈 공급사] 제어계측 / 자동화 및 검사시스템 PG 개발,"
경력무관
대학교(4년)↑
","
정규직
경기 화성시
","
즉시지원 ~ 01/03(금)(3일 전 등록)
"
109,(주)아이티에스코,신입 및 경력 프로그래머 모집,"
신입 · 경력
대학교(4년)↑
","
정규직
서울 종로구
","
즉시지원 ~ 12/12(목)(5일 전 등록)
"
110,주식회사 에잇퍼센트,각 분야 담당자 채용,"
경력 1년↑
학력무관
","
정규직 · 인턴직
서울 영등포구
","
즉시지원 ~ 12/09(월)(5일 전 등록)
"
111,에이엠텔레콤㈜,개발 부문 경력직 모집,"
경력 5년↑
대학교(4년)↑
","
정규직
경기 성남시 분당구
","
즉시지원 ~ 12/15(일)(50일 전 등록)
"
112,(주)액티브라이프,뷰티 MD / 마케팅 경력직원 채용,"
경력 2년↑
학력무관
","
정규직
서울 송파구
","
즉시지원 ~ 12/09(월)(5일 전 등록)
"
113,(주)노드메이슨,[Huxley] 해외영업/국내영업/구매생산/전산관리/상품기획 채용,"
신입 · 경력
학력무관
","
정규직 · 인턴직
서울 마포구
","
즉시지원 ~ 12/19(목)(11일 전 등록)
"
114,㈜중외정보기술,㈜중외정보기술 ERP팀 / Biz컨설팅팀 채용,"
경력 1년↑
대학(2,3년)↑
","
정규직
서울 금천구
","
즉시지원 ~ 12/11(수)(5일 전 등록)
"
115,굿네이버스,경력 계약직 직원 채용 공고(컨텐츠기획/웹기획),"
1 ~ 5년
학력무관
","
계약직
서울 영등포구
","
홈페이지 지원 ~ 12/09(월)(2일 전 등록)
"
116,인핸드플러스(주),[인핸드플러스] 개발자 각 부문 채용,"
경력
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 12/09(월)(8일 전 등록)
"
117,호리바코리아㈜,호리바코리아 각 부문 신입/경력사원 모집,"
신입 · 경력
대학(2,3년)↑
","
정규직
경기 안양시 만안구
","
즉시지원 ~ 12/09(월)(5일 전 등록)
"
118,(주)아담스패밀리,[월튼키즈/쿨독키즈] 2019년 각 부문 신입/경력 채용,"
신입 · 경력
고졸↑
","
정규직
경기 김포시
","
즉시지원 오늘마감(5일 전 등록)
"
119,제이엘솔루션,[제이엘솔루션] 온라인 광고 영업사원 신입/경력 채용,"
신입 · 경력
고졸↑
","
정규직
서울전체
","
즉시지원 ~ 12/09(월)(5일 전 등록)
"
120,(주) 씨큐윈,네트워크 보안 엔지니어  (신입 및 경력) 모집,"
경력무관
학력무관
","
정규직
서울 성동구
","
즉시지원 채용시(10일 전 등록)
"
121,주식회사 레이시스,2019년 겨울 웹퍼블리셔 디자이너 경력무관 채용,"
경력무관
대학(2,3년)↑
","
정규직 · 계약직
서울 구로구
2,200~2,400만원
","
즉시지원 ~ 12/31(화)(30일 전 등록)
"
122,주식회사 레이시스,2019 겨울방학 웹퍼블리셔(웹디자인) 인턴십,"
경력무관
학력무관
","
인턴직
서울 구로구
8350원
","
즉시지원 ~ 02/05(수)(3시간 전 등록)
"
123,제너럴바이오(주),제너럴바이오㈜ &amp; 지쿱㈜ 채용 모집,"
신입 · 경력
학력무관
","
정규직
전북 남원시
","
즉시지원 ~ 12/12(목)(9일 전 등록)
"
124,(주)에이티세미콘,2019 하반기 에이티세미콘 각 부문별 공개채용,"
경력무관
고졸↑
","
정규직
경기 이천시
","
즉시지원 ~ 12/31(화)(19일 전 등록)
"
125,(주)솔데스크,[IT취업연수 국비무료 채용예정자교육] 자바개발자/빅데이터분석/클라우드/네트워크/정보보안 교육,"
경력무관
학력무관
","
교육생
서울 종로구
","
즉시지원 ~ 12/30(월)(22일 전 등록)
"
126,㈜넷맨,(주)넷맨 신입 및 경력 공개 채용,"
신입 · 경력
학력무관
","
정규직
서울 금천구
3500만원
","
홈페이지 지원 내일마감(17일 전 등록)
"
127,콘텔라㈜,Contela R&amp;D Access Network 경력 채용,"
경력 3년↑
대학교(4년)↑
","
정규직
경기 성남시 분당구
","
즉시지원 내일마감(9일 전 등록)
"
128,(주)한맥아이피에스,"연구개발부,기술부,경영관리부(구매),영업부 채용 [사세확장]","
신입 · 경력
학력무관
","
정규직
대구 수성구
","
즉시지원 ~ 12/12(목)(9일 전 등록)
"
129,(주)에스엠티비전,JAVA 또는 C# - MES 개발자 모집,"
경력무관
대학(2,3년)↑
","
정규직
서울 금천구
","
즉시지원 ~ 12/29(일)(8일 전 등록)
"
130,(주)엠그램,웹/모바일 및 앱개발자 신입 및 경력 모집 (서울본사/제주지사),"
신입 · 경력
대학(2,3년)↑
","
정규직
서울 영등포구
","
즉시지원 ~ 12/09(월)(36일 전 등록)
"
131,㈜벡셀,"2019 영업, 마케팅부문 모집","
경력 3년↑
학력무관
","
정규직
서울 강서구
","
홈페이지 지원 ~ 12/10(화)(2일 전 등록)
"
132,주식회사 레이시스,2019년 프론트엔드 개발자 채용,"
경력 1년↑
대학(2,3년)↑
","
정규직 · 계약직
서울 구로구
3,000~3,200만원
","
즉시지원 ~ 02/02(일)(3일 전 등록)
"
133,(주)브라보텍,브라보텍 부문별 정규직 모집(인재선발),"
경력무관
학력무관
","
정규직
서울 용산구
","
즉시지원 ~ 12/15(일)(26일 전 등록)
"
134,(주)위드이노베이션,[여기어때] JAVA 개발자 경력 채용,"
3 ~ 15년
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 02/04(화)(1일 전 등록)
"
135,메가존(주),[메가존] 웹 어플리케이션 개발 경력자 대규모 채용,"
3 ~ 6년
학력무관
","
정규직
서울 강남구
","
즉시지원 ~ 02/03(월)(2일 전 등록)
"
136,(사)대덕이노폴리스벤처협회,[2019공동채용] 펫박스(주) 온라인 마케팅 경력직 채용 공고,"
3년
대학교(4년)↑
","
정규직
서울 종로구
3600만원
","
즉시지원 ~ 12/29(일)(1일 전 등록)
"
